关键词,名称,纬度,经度,地址,省份,城市,区县
宗祠,倪氏宗祠,27.240034,120.455028,马沙线蒲壮所城,浙江省,温州市,苍南县
宗祠,王氏宗祠(马分线),27.424773,120.313265,马分线东50米,浙江省,温州市,苍南县
宗祠,柯氏宗祠,27.496492,120.517734,浙江省温州市苍南县,浙江省,温州市,苍南县
宗祠,陈氏宗祠(马分线),27.41676,120.2996,温州市苍南县五福路五凤客运站西南侧约90米,浙江省,温州市,苍南县
宗祠,纪氏宗祠,27.41203,120.33907,温州市苍南县马分线,浙江省,温州市,苍南县
宗祠,大浃头刘氏宗祠,27.535882,120.450126,浙江省温州市苍南县灵溪镇银杏路,浙江省,温州市,苍南县
宗祠,林氏宗祠,27.237733,120.472873,温州市苍南县S78,浙江省,温州市,苍南县
宗祠,镇府路朱氏宗祠,27.468557,120.314189,温州市苍南县镇府路229号(中共苍南县桥墩镇委员会西北),浙江省,温州市,苍南县
宗祠,杨氏宗祠,27.543382,120.484297,浙江省温州市苍南县,浙江省,温州市,苍南县
宗祠,张氏宗祠,27.473362,120.353225,温州市苍南县G15沈海高速附近,浙江省,温州市,苍南县
宗祠,吴氏宗祠,27.420625,120.337945,浙江省温州市苍南县吴氏宗祠(马分线南460米),浙江省,温州市,苍南县
宗祠,朱氏宗祠(埭金线店),27.453749,120.623667,浙江省温州市苍南县埭金线,浙江省,温州市,苍南县
宗祠,游氏宗祠,27.503339,120.398785,浙江省温州市苍南县灵溪镇一小路36号,浙江省,温州市,苍南县
宗祠,刘氏宗祠,27.206761,120.481867,温州市苍南县S232,浙江省,温州市,苍南县
宗祠,叶氏宗祠,27.530895,120.476513,浙江省温州市苍南县灵溪镇凤凰山村村民委员会东200米,浙江省,温州市,苍南县
宗祠,董氏宗祠,27.482139,120.529893,温州市苍南县瓦海线,浙江省,温州市,苍南县
宗祠,王氏宗祠,27.555324,120.435007,温州市苍南县龙庆北路沪山辅导小学东北侧约260米,浙江省,温州市,苍南县
宗祠,王氏宗祠,27.491773,120.402532,温州市苍南县232省道,浙江省,温州市,苍南县
宗祠,林氏宗祠,27.480165,120.520585,浙江省温州市苍南县望里镇,浙江省,温州市,苍南县
宗祠,黄氏宗祠(灵内线),27.555587,120.384842,浙江省温州市苍南县灵溪镇双鹤村56号,浙江省,温州市,苍南县
宗祠,曾氏宗祠(腾垟乡卫生院东南),27.522186,120.256053,浙江省温州市苍南县玉腾路(腾垟乡卫生院东南),浙江省,温州市,苍南县
宗祠,郭氏宗祠,27.523172,120.535656,温州市苍南县环城西路与龙金大道交叉路口往西北约210米,浙江省,温州市,苍南县
宗祠,林氏宗祠,27.473523,120.531597,温州市苍南县站前路望里镇第一小学东南侧约240米,浙江省,温州市,苍南县
宗祠,金氏宗祠,27.24152,120.453286,温州市苍南县马沙线蒲壮所城,浙江省,温州市,苍南县
宗祠,徐氏宗祠(碗天线),27.561866,120.0927,温州市苍南县碗天线东50米,浙江省,温州市,苍南县
宗祠,王氏宗祠,27.454492,120.595276,浙江省温州市苍南县钱库镇仁桥,浙江省,温州市,苍南县
宗祠,方氏宗祠,27.508008,120.36972,浙江省温州市苍南县,浙江省,温州市,苍南县
宗祠,庄氏宗祠,27.491775,120.402532,浙江省温州市苍南县政法路4-6号,浙江省,温州市,苍南县
宗祠,金乡镇四代徐村徐氏宗祠,27.451696,120.60925,温州市苍南县城北大街与世代徐路交叉路口往西北约280米,浙江省,温州市,苍南县
宗祠,玉苍山国家森林公园-廖氏宗祠,27.516304,120.353541,浙江省温州市苍南县灵溪镇,浙江省,温州市,苍南县
宗祠,郑氏宗祠,27.225594,120.480287,浙江省温州市苍南县马站镇岭尾S232(旧)东200米,浙江省,温州市,苍南县
宗祠,林氏宗祠(振兴一街店),27.517374,120.412759,温州市苍南县振兴一路105号,浙江省,温州市,苍南县
宗祠,叶氏宗祠,27.551619,120.48696,浙江省温州市苍南县灵溪镇凤凰山村村民委员会东200米,浙江省,温州市,苍南县
宗祠,江氏宗祠,27.459866,120.607221,浙江省温州市苍南县金乡镇郊外大道,浙江省,温州市,苍南县
宗祠,项氏宗祠,27.557793,120.410416,温州市苍南县,浙江省,温州市,苍南县
宗祠,黄氏宗祠,27.239817,120.451508,马沙线附近蒲壮所城,浙江省,温州市,苍南县
宗祠,陈氏宗祠,27.437302,120.633733,浙江省温州市苍南县龙魁线(金泰公寓东南),浙江省,温州市,苍南县
宗祠,陈氏宗祠,27.463867,120.37727,浙江省温州市苍南县观美社区茂竹村,浙江省,温州市,苍南县
宗祠,李氏宗祠,27.536501,120.475889,浙江省温州市苍南县海峡大道,浙江省,温州市,苍南县
宗祠,陈氏宗祠,27.526581,120.467562,温州市苍南县塔里村金龙大道2号,浙江省,温州市,苍南县
宗祠,许氏宗祠(桥墩国土所北),27.465115,120.311002,温州市苍南县镇西北路桥墩镇中心幼儿园西北侧约170米,浙江省,温州市,苍南县
宗祠,张氏宗祠,27.240238,120.454828,马沙线蒲壮所城,浙江省,温州市,苍南县
宗祠,汤氏宗祠,27.473221,120.622951,温州市苍南县龙魁线,浙江省,温州市,苍南县
宗祠,唐氏宗祠,27.523723,120.239523,浙江省温州市苍南县桥南线,浙江省,温州市,苍南县
宗祠,刘侯宗祠,27.468614,120.314789,温州市苍南县镇府路189-191号,浙江省,温州市,苍南县
宗祠,林氏宗祠(南鹤一街店),27.504069,120.412175,浙江省温州市苍南县南鹤一街灵溪镇五小,浙江省,温州市,苍南县
宗祠,朱氏宗祠,27.338425,120.412616,温州市苍南县232省道,浙江省,温州市,苍南县
宗祠,巫氏宗祠,27.496618,120.272521,桥墩镇碗窑古村,浙江省,温州市,苍南县
宗祠,田寮林氏宗祠,27.510453,120.195462,浙江省温州市苍南县碗天线,浙江省,温州市,苍南县
宗祠,林氏宗祠,27.232658,120.46985,浙江省温州市苍南县S232,浙江省,温州市,苍南县
宗祠,苍南县赤溪镇中墩社区方氏祠堂,27.343756,120.539303,温州市苍南县龙魁线,浙江省,温州市,苍南县
宗祠,西山徐氏宗祠,27.536671,120.401936,浙江省温州市苍南县西山村,浙江省,温州市,苍南县
宗祠,王氏祠堂,27.505557,120.227098,浙江省温州市苍南县云山街,浙江省,温州市,苍南县
